Counter:,Time:,F3:,F4:,P7:,FC6:,F7:,F8:,T7:,P8:,FC5:,AF4:,T8:,O2:,O1:,AF3:
134,2.226134351719596,0,0,0,0,0,0,0,0,0,0,0,0,0,0
135,2.2402011683501972,0,0,0,0,0,0,0,0,0,0,0,0,0,0
136,2.2550099643336727,0,0,0,0,0,0,0,0,0,0,0,0,0,0
137,2.2719591676146327,0,0,0,0,0,0,0,0,0,0,0,0,0,0
138,2.2865002523157454,0,0,0,0,0,0,0,0,0,0,0,0,0,0
139,2.3019599373914827,0,0,0,0,0,0,0,0,0,0,0,0,0,0
140,2.316425327368988,0,0,0,0,0,0,0,0,0,0,0,0,0,0
141,2.3324632003900203,0,0,0,0,0,0,0,0,0,0,0,0,0,0
142,2.347365652556942,0,0,0,0,0,0,0,0,0,0,0,0,0,0
143,2.3630815022622884,0,0,0,0,0,0,0,0,0,0,0,0,0,0
144,2.37846934149867,0,0,0,0,0,0,0,0,0,0,0,0,0,0
145,2.3925524089738874,0,0,0,0,0,0,0,0,0,0,0,0,0,0
146,2.407462558909312,0,0,0,0,0,0,0,0,0,0,0,0,0,0
147,2.4214763464680074,0,0,0,0,0,0,0,0,0,0,0,0,0,0
148,2.4361739524620027,0,0,0,0,0,0,0,0,0,0,0,0,0,0
149,2.450922876912682,0,0,0,0,0,0,0,0,0,0,0,0,0,0
150,2.4659125704559646,0,0,0,0,0,0,0,0,0,0,0,0,0,0
151,2.4820334083153006,0,0,0,0,0,0,0,0,0,0,0,0,0,0
152,2.498542555830204,0,0,0,0,0,0,0,0,0,0,0,0,0,0
153,2.513661400822806,0,0,0,0,0,0,0,0,0,0,0,0,0,0
154,2.5288242941573937,0,0,0,0,0,0,0,0,0,0,0,0,0,0
155,2.5443075001924442,0,0,0,0,0,0,0,0,0,0,0,0,0,0
156,2.560331688291694,0,0,0,0,0,0,0,0,0,0,0,0,0,0
157,2.57627291155264,0,0,0,0,0,0,0,0,0,0,0,0,0,0
158,2.591094537150286,0,0,0,0,0,0,0,0,0,0,0,0,0,0
159,2.6053144538433246,0,0,0,0,0,0,0,0,0,0,0,0,0,0
160,2.6201839766672084,0,0,0,0,0,0,0,0,0,0,0,0,0,0
161,2.6349564220772,0,0,0,0,0,0,0,0,0,0,0,0,0,0
162,2.6495039215853984,0,0,0,0,0,0,0,0,0,0,0,0,0,0
163,2.6645688821984828,0,0,0,0,0,0,0,0,0,0,0,0,0,0
164,2.679401199141271,0,0,0,0,0,0,0,0,0,0,0,0,0,0
165,2.69761497472566,0,0,0,0,0,0,0,0,0,0,0,0,0,0
166,2.712460548936425,0,0,0,0,0,0,0,0,0,0,0,0,0,0
167,2.7291984912373737,0,0,0,0,0,0,0,0,0,0,0,0,0,0
168,2.7470064233601614,0,0,0,0,0,0,0,0,0,0,0,0,0,0
169,2.765301025513826,0,0,0,0,0,0,0,0,0,0,0,0,0,0
170,2.783639676009477,0,0,0,0,0,0,0,0,0,0,0,0,0,0
171,2.800959227486165,0,0,0,0,0,0,0,0,0,0,0,0,0,0
172,2.817921688035102,0,0,0,0,0,0,0,0,0,0,0,0,0,0
173,2.8335738173234004,0,0,0,0,0,0,0,0,0,0,0,0,0,0
174,2.8476295149550537,0,0,0,0,0,0,0,0,0,0,0,0,0,0
175,2.862411796402576,0,0,0,0,0,0,0,0,0,0,0,0,0,0
176,2.876282319936365,0,0,0,0,0,0,0,0,0,0,0,0,0,0
177,2.8903615385273316,0,0,0,0,0,0,0,0,0,0,0,0,0,0
178,2.9044989180358716,0,0,0,0,0,0,0,0,0,0,0,0,0,0
179,2.920526527365567,0,0,0,0,0,0,0,0,0,0,0,0,0,0
180,2.9358750224518246,0,0,0,0,0,0,0,0,0,0,0,0,0,0
181,2.951168350197148,0,0,0,0,0,0,0,0,0,0,0,0,0,0
182,2.9665177005910177,0,0,0,0,0,0,0,0,0,0,0,0,0,0
183,2.982718937365824,0,0,0,0,0,0,0,0,0,0,0,0,0,0
184,2.998718749198149,0,0,0,0,0,0,0,0,0,0,0,0,0,0
